year,state,state_name,summary,duration_seconds
2022,NC,North Carolina,Saw multi color object above horizon.,900
2022,MI,Michigan,An object in the shape of a straight line about an inch from our viewing area moving slowly across the sky,60
2022,OH,Ohio,Tone in the air.,172800
2022,IN,Indiana,Black tic-tac shaped ufo. Moved with insane speed,30
2022,CA,California,Two alien were scanning me,180
2022,OK,Oklahoma,Long cigar solid shaped craft with light beam,600
2022,VA,Virginia,"Saw a strange cloud in the sky. Twisting upward like an upside down tornado. That's what caught my eye, so I took a few pictures of it.",20
2022,CT,Connecticut,Figure over South Norwalk,300
2022,WY,Wyoming,"Two large glowing objects ejected 3-5 smaller, faster, brighter flying objects into the sky, disappearing over the Western horizon.",1800
2022,NH,New Hampshire,Object flying south low altitude,10
2022,AZ,Arizona,Very large shiny silver object in sky,3
2022,FL,Florida,Red and Green alternating colored lights on a craft,45
2022,OR,Oregon,An alien in a weird space suit,60
2022,NM,New Mexico,Lights in the sky that did not resemble a normal pattern,32
2022,CA,California,7 spherical UFOs with lights heading in north direction,300
2022,NC,North Carolina,"Long cylinder, reflecting sun, moving at high rate of speed.",600
2022,OK,Oklahoma,flew in a weird odd patern not normal to aircraft,180
2022,CA,California,((HOAX))  Alien,1200
2022,NV,Nevada,Attached video,45
2022,CA,California,"2 objects, off flight path, rotating, most likely S shape, white lights",300
2022,OH,Ohio,"10-12 evenly spaced lights appearing in northwest sky travelling southeast, fading out one light at a time.  ((Starlink satellites??))",180
2022,FL,Florida,High altitude Flash of light followed by dropping object,1200
2022,WA,Washington,A round circle of light in Puget Sound,300
2022,IL,Illinois,Neighbor tells me for 2 months to look at sky when I finally do I saw that a plane wasnt a plane. now see them nightly,7200
2022,HI,Hawaii,A stationary blinking light amongst the stars,47
2022,AZ,Arizona,First flew SW to near Cataline Mtns.,1800
2022,AZ,Arizona,See report of 3.18,1800
2022,AL,Alabama,Very very bright object fell from the sky at 2:44 am looking north from 11 position to he 5 oclock position,2
2022,TX,Texas,"In RV Park looking to NE across Main St, coming from NW",30
2022,NM,New Mexico,It appeared in the sky across the road,600
2022,FL,Florida,Just adding pictures to previous report,691200
