post_id,city,price,beds,baths,sqft
4168358289,alameda,2595,4,3,1756
pre2013_59350,alameda,1375,2,1,700
pre2013_72024,alameda,1950,3,2,1400
pre2013_64956,alameda,1640,2,1.5,895
5819631756,alameda,3100,2,1,1200
pre2013_24201,alameda,1000,2,1,1185
pre2013_24217,alameda,1555,3,2.5,1626
4233304667,alameda,2150,3,3,1014
5439547289,alameda,2100,1,1,752
4668437901,alameda,4200,3,2.5,2205
6296881089,alameda,3750,3,2.5,1500
4817115573,alameda,1275,2,2.5,1025
5247508373,alameda,2723,2,1,902
4817227421,alameda,1939,2,1,864
6550087854,alameda,2500,2,1,1050
6300562637,alameda,2795,2,1,950
pre2013_47121,alameda,1985,4,2,2000
5494592486,alameda,2800,2,1.5,1100
4623074794,alameda,1895,2,1,870
4689158316,alameda,1275,1,1.5,925
6556503473,alameda,3000,3,1.5,1100
6455336052,alameda,2743,2,2,1120
pre2013_60561,alameda,2450,3,2,1600
5574745300,alameda,2550,2,1,950
4710888130,alameda,2250,2,1,1080
5454619019,alameda,4100,4,2.5,2300
pre2013_36924,alameda,2400,2,2,2500
pre2013_23746,alameda,1900,2,1,1200
6406056994,alameda,2300,1,1,773
pre2013_65801,alameda,1550,2,2,1120
6522699003,alameda,1800,2,1,650
5961989126,alameda,3995,3,2,1787
pre2013_157128,alameda,1495,2,2,1050
5785510516,alameda,2150,2,1,950
5493032671,alameda,1450,3,2,1981
pre2013_62975,alameda,2400,4,2,1500
4935175730,alameda,2536,2,2,1225
pre2013_156889,alameda,1495,2,2,1050
5382683661,alameda,2255,1,1,675
4988581576,alameda,2650,2,1,950
4710735241,alameda,1350,3,2.5,1350
5586495228,alameda,2650,2,2,950
5470716546,alameda,2957,2,2,1120
pre2013_17558,alameda,2650,3,2.5,2000
pre2013_31091,alameda,1745,2,2,1225
pre2013_159766,alameda,2800,4,3,2600
pre2013_49353,alameda,3000,3,2,1841
pre2013_55564,alameda,1841,2,2,1035
pre2013_23711,alameda,1250,2,1,950
4988561264,alameda,1950,2,1,800
6558666042,alameda,2950,2,1,800
pre2013_10499,alameda,1100,1,1,700
5449578719,alameda,2450,2,1,1042
5606221863,alameda,1999,2,1,729
5752361520,alameda,2707,1,1,580
5413999219,alameda,1800,2,1,700
4855533017,alameda,2650,2,1,950
pre2013_152926,alameda,1200,2,2,1100
5406739770,alameda,1750,1,1,576
5532961165,alameda,2750,1,1,700
pre2013_51579,alameda,3000,3,2.5,2205
4631188738,alameda,3295,4,1,1716
5752600370,alameda,3100,2,1,1350
4794051100,alameda,1860,1,1,705
4797221930,alameda,1150,3,2,1405
5525617452,alameda,2750,2,1,800
pre2013_117165,san francisco,2550,3,2,1432
pre2013_50465,san francisco,2295,1,1,420
pre2013_139004,san francisco,4800,3,1,1800
4267990965,san francisco,3150,2,2,700
5313179807,san francisco,3150,1,1,1000
5291718271,san francisco,7900,4,1,1700
pre2013_13289,san francisco,5295,3,2,1400
pre2013_15941,san francisco,2200,1,1,420
4667266907,san francisco,1475,3,2,1450
pre2013_41921,san francisco,5295,3,2,1400
4656284087,san francisco,1450,3,2,1300
4656091841,san francisco,3400,2,2,900
5803949975,san francisco,3250,1,1,900
pre2013_13283,san francisco,5295,3,2,1400
6503863660,san francisco,5200,3,2,1500
5373783343,san francisco,7000,3,2,1500
4645103425,san francisco,3995,2,2,1100
4645344732,san francisco,1025,1,1,1000
5054789198,san francisco,2350,1,1,560
pre2013_46593,san francisco,4500,2,2,1860
5344257863,san francisco,5300,2,2,1100
5539922695,el cerrito,1750,2,1,975
4328305258,el cerrito,800,1,1,460
5429243453,el cerrito,2493,2,2,910
5403523865,el cerrito,2600,3,2,1225
4795296774,el cerrito,4000,5,3,3000
6505654418,el cerrito,2500,1,1,643
5439880605,el cerrito,2200,2,2,1000
5810365323,el cerrito,2495,2,2,1040
6447619356,el cerrito,2250,2,1,925
pre2013_49631,el cerrito,2995,3,3,4000
pre2013_64903,el cerrito,1150,1,1,450
pre2013_34723,el cerrito,1500,2,2,1000
5626675426,el cerrito,2300,2,1,900
5536759287,el cerrito,1400,1,1,635
pre2013_60584,el cerrito,1750,2,1,1250
4657828969,el cerrito,2600,3,2,1600
5434115123,el cerrito,3300,2,2,1234
5946087518,el cerrito,2200,2,2,750
4807656490,el cerrito,2650,2,1,1234
pre2013_10371,el cerrito,3000,4,2.5,2250
